Date,close,Close,Open,High,Low,Volume,OpenInt
3/31/2014,41.055,410.55,40.508,41.422,40.256,2750708,0
4/1/2014,41.564,415.64,41.233,41.63,40.725,4064304,0
4/2/2014,41.78,417.8,41.594,42.142,41.457,3034456,0
4/3/2014,42.764,427.64,41.78,42.838,41.78,3766998,0
4/4/2014,41.701,417.01,42.98,43.449,41.662,3168222,0
4/7/2014,41.528,415.28,41.701,42.181,41.055,2361758,0
4/8/2014,41.74,417.4,41.457,42.142,41.233,2446965,0
4/9/2014,41.74,417.4,41.929,41.996,41.492,2172827,0
4/10/2014,41.083,410.83,41.858,41.929,40.91,2398840,0
4/11/2014,40.182,401.82,40.871,41.083,40,2048853,0
4/14/2014,41.233,412.33,40.579,41.272,40.221,2410265,0
4/15/2014,41.083,410.83,41.193,41.564,40.359,2810427,0
4/16/2014,41.78,417.8,41.564,41.929,41.193,2043634,0
4/17/2014,41.528,415.28,41.457,41.74,40.765,2956774,0
4/21/2014,41.662,416.62,41.819,41.929,41.272,2520533,0
4/22/2014,42.107,421.07,40.619,42.728,40.256,5370720,0
4/23/2014,43.449,434.49,42.107,44.574,41.965,4941142,0
4/24/2014,43.563,435.63,43.807,43.847,42.614,3518123,0
4/25/2014,42.654,426.54,43.311,43.417,42.654,4110412,0
4/28/2014,43.599,435.99,42.945,43.677,42.142,3864462,0
4/29/2014,43.992,439.92,43.709,44.146,43.449,3374539,0
4/30/2014,43.921,439.21,43.847,43.992,43.272,2805267,0
5/1/2014,43.885,438.85,43.961,44.326,43.747,1943421,0
5/2/2014,43.709,437.09,43.807,44.224,43.523,2220581,0
5/5/2014,43.523,435.23,43.523,43.709,43.346,2319040,0
5/6/2014,42.575,425.75,43.346,43.488,42.5,2941149,0
5/7/2014,42.98,429.8,42.728,43.272,42.5,2756318,0
5/8/2014,43.311,433.11,42.838,43.677,42.539,2128294,0
5/9/2014,43.012,430.12,43.158,43.272,42.803,1541733,0
5/12/2014,43.637,436.37,43.158,43.807,43.122,2112292,0
5/13/2014,43.921,439.21,43.449,44.106,43.158,2311942,0
5/14/2014,43.523,435.23,44.146,44.224,43.311,1315350,0
5/15/2014,43.082,430.82,43.417,43.677,42.689,1880477,0
5/16/2014,43.346,433.46,43.044,43.523,42.728,1731011,0
5/19/2014,44.224,442.24,43.346,44.256,43.311,1385051,0
5/20/2014,43.599,435.99,44.224,44.291,43.417,1501833,0
5/21/2014,43.044,430.44,43.709,43.747,42.764,3473667,0
5/22/2014,42.945,429.45,42.914,43.382,42.874,2151367,0
5/23/2014,43.807,438.07,43.272,43.847,43.044,1501017,0
5/27/2014,44.146,441.46,44.067,44.54,43.677,3933209,0
5/28/2014,44.326,443.26,44.146,44.685,43.807,1992987,0
5/29/2014,44.685,446.85,44.61,44.685,43.992,1249529,0
5/30/2014,44.866,448.66,44.65,44.945,44.398,1954069,0
6/2/2014,45.091,450.91,44.945,45.231,44.574,1145370,0
6/3/2014,45.267,452.67,44.866,45.373,44.685,1761188,0
6/4/2014,45.413,454.13,45.051,45.894,45.015,1861639,0
6/5/2014,45.091,450.91,45.523,45.555,44.945,1582816,0
6/6/2014,46.685,466.85,45.267,46.719,45.267,3761875,0
6/9/2014,46.941,469.41,46.719,47.267,46.437,2926198,0
6/10/2014,46.649,466.49,46.719,46.976,46.571,1795302,0
6/11/2014,46.326,463.26,46.503,46.571,46.212,1334365,0
6/12/2014,45.894,458.94,46.362,46.571,45.775,1617633,0
6/13/2014,45.814,458.14,45.964,46.248,45.669,1420237,0
6/16/2014,45.63,456.3,45.964,46.248,45.594,1176355,0
6/17/2014,46.362,463.62,45.555,46.609,45.523,1739136,0
6/18/2014,46.212,462.12,46.362,46.362,45.775,2528127,0
6/19/2014,45.197,451.97,46.172,46.212,45.125,1812595,0
6/20/2014,44.866,448.66,45.413,45.413,44.83,2984942,0
6/23/2014,45.484,454.84,44.945,45.814,44.905,1669811,0
6/24/2014,44.945,449.45,45.523,46.134,44.866,2397776,0
6/25/2014,45.964,459.64,44.905,46.212,44.905,2087312,0
6/26/2014,45.055,450.55,45.275,45.822,44.614,2142752,0
6/27/2014,45.677,456.77,44.909,45.677,44.909,2179871,0
6/30/2014,45.417,454.17,45.492,45.901,45.275,1715307,0
7/1/2014,45.201,452.01,44.654,45.637,44.654,2433821,0
7/2/2014,45.055,450.55,45.094,45.563,44.834,1354952,0
7/3/2014,45.457,454.57,45.129,45.602,44.984,806359,0
7/7/2014,44.578,445.78,44.504,44.834,44.146,3286927,0
7/8/2014,44.54,445.4,44.834,44.984,44.224,3975051,0
7/9/2014,45.531,455.31,44.578,45.637,44.578,2148611,0
7/10/2014,45.275,452.75,44.949,45.531,44.654,1476351,0
7/11/2014,46.444,464.44,45.381,46.621,45.346,2585769,0
7/14/2014,46.373,463.73,46.661,46.853,46.184,1306801,0
7/15/2014,46.106,461.06,46.413,46.444,45.901,1755554,0
7/16/2014,46.917,469.17,46.334,47.062,46.184,2621048,0
7/17/2014,46.775,467.75,46.373,47.023,46.259,2271263,0
7/18/2014,47.397,473.97,46.815,47.468,46.735,1955272,0
7/21/2014,47.318,473.18,47.244,47.436,46.983,2885907,0
7/22/2014,47.684,476.84,47.358,48.121,47.283,3349376,0
7/23/2014,46.661,466.61,47.684,47.684,46.661,2638050,0
7/24/2014,46.885,468.85,46.853,47.129,46.413,2681507,0
7/25/2014,48.015,480.15,46.444,48.527,46.004,3856459,0
7/28/2014,47.826,478.26,48.421,48.85,47.318,4074030,0
7/29/2014,47.397,473.97,47.72,48.196,47.397,2887052,0
7/30/2014,48.7,487,47.578,48.814,47.578,3696570,0
7/31/2014,48.421,484.21,48.487,48.7,47.94,4200553,0
8/1/2014,47.61,476.1,48.157,48.527,47.397,3237235,0
8/4/2014,47.94,479.4,47.684,48.157,47.61,1892121,0
8/5/2014,47.755,477.55,47.901,48.196,47.578,1905814,0
8/6/2014,47.436,474.36,47.358,47.684,47.204,1465856,0
8/7/2014,47.204,472.04,47.504,47.826,46.956,1986955,0
8/8/2014,48.157,481.57,47.397,48.196,47.318,1678218,0
8/11/2014,48.778,487.78,48.196,48.964,48.157,1614209,0
8/12/2014,48.928,489.28,48.66,49.18,48.594,2893139,0
8/13/2014,49.581,495.81,49.216,49.581,49.113,1718445,0
8/14/2014,49.113,491.13,49.661,49.731,48.999,2070206,0
8/15/2014,48.888,488.88,49.074,49.326,48.527,2004821,0
8/18/2014,49.251,492.51,48.964,49.507,48.888,1756682,0
8/19/2014,49.113,491.13,49.216,49.326,48.778,2430639,0
8/20/2014,49.436,494.36,49.18,49.767,48.928,3506528,0
8/21/2014,49.661,496.61,49.365,49.802,49.216,1285021,0
8/22/2014,49.621,496.21,49.661,49.837,49.436,1245968,0
8/25/2014,49.695,496.95,49.767,49.979,49.542,801964,0
8/26/2014,49.916,499.16,49.877,50.204,49.661,957528,0
